,X Avg,Y Avf
T_172959,127.0081721,37.50387767
T_167931,127.0083833,37.49450991
T_167928,127.0084161,37.49439416
T_174324,127.0085892,37.50420056
T_172852,127.0090745,37.49232448
T_172849,127.0091121,37.4921901
T_172960,127.009261,37.50429157
T_174356,127.0094826,37.50664475
T_167930,127.0095906,37.49469648
T_167929,127.009605,37.49457809
T_174319,127.0096457,37.50487476
T_174321,127.0097328,37.50574991
T_174341,127.0099402,37.50576252
T_173429,127.01003,37.50629274
T_172997,127.0100552,37.50472714
T_174042,127.0100559,37.50394611
T_174200,127.0100895,37.50603249
T_174045,127.0101226,37.50400785
T_174359,127.0101607,37.50764722
T_174320,127.0101694,37.50439852
T_172612,127.0103657,37.49419405
T_172851,127.0104104,37.49272844
T_172850,127.0104401,37.49259261
T_172611,127.010475,37.49424362
T_174318,127.0106595,37.50507128
T_174327,127.010802,37.50380656
T_172613,127.0108083,37.49329015
T_172610,127.0109177,37.49333972
T_174317,127.0109279,37.5045081
T_174060,127.0109565,37.49493415
T_174330,127.0109577,37.50386411
T_174043,127.0109665,37.50293406
T_174061,127.0109781,37.49484659
T_174044,127.0109899,37.50300516
T_173428,127.0110469,37.50580959
T_174361,127.0111294,37.50812225
T_174360,127.0111708,37.50794782
T_174328,127.0112415,37.50297747
T_173371,127.011314,37.49218247
T_174329,127.0113891,37.50300989
T_174201,127.0113953,37.50551699
T_172847,127.011415,37.492235
T_173015,127.0114182,37.5084347
T_173019,127.0115343,37.50848046
T_174434,127.0116058,37.4930908
T_173664,127.0116185,37.50199411
T_174435,127.0116365,37.49295344
T_174338,127.0117327,37.5049306
T_174333,127.011738,37.50475993
T_171660,127.0117443,37.5092295
T_173675,127.01175,37.50199925
T_173011,127.0118019,37.50917131
T_173665,127.011925,37.50082956
T_171652,127.0119848,37.48760476
T_173372,127.0120018,37.49092853
T_172996,127.0120197,37.48752618
T_173674,127.0120424,37.50083068
T_172846,127.0121027,37.4909791
T_173666,127.0122132,37.49965313
T_171685,127.01222,37.50271623
T_173016,127.0122279,37.50264248
T_173427,127.0122816,37.5054467
T_173673,127.0123295,37.49965935
T_172843,127.0124096,37.48838074
T_171669,127.0124237,37.50849425
T_173020,127.0124568,37.50831998
T_173373,127.0124711,37.48966943
T_174059,127.0124953,37.49538964
T_173667,127.0124998,37.49848313
T_174062,127.0125164,37.49530469
T_172844,127.0125277,37.48841161
T_172845,127.0126033,37.48971
T_173672,127.0126167,37.49848781
T_174433,127.0126709,37.4934147
T_171659,127.0126967,37.51018986
T_174436,127.0127101,37.49327519
T_173012,127.0127424,37.51015153
T_173668,127.012787,37.49731062
T_173671,127.0129044,37.49731434
T_174334,127.0129726,37.5047231
T_174337,127.0129943,37.50489293
T_174202,127.0130314,37.50525283
T_173669,127.0130742,37.49613788
T_171694,127.0131465,37.48794368
T_171654,127.0131754,37.48786148
T_173670,127.0131906,37.49614674
T_171662,127.0133615,37.49491611
T_174426,127.0133785,37.49381971
T_174427,127.0134715,37.49335306
T_171667,127.0134776,37.49493402
T_174430,127.0135274,37.49417031
T_171684,127.0135674,37.50260405
T_173017,127.0135684,37.50251809
T_174445,127.0136436,37.49420546
T_173426,127.0136799,37.50524046
T_171785,127.013725,37.4861634
T_174725,127.0137645,37.48607733
